Name,Category,Comment,Formula,👥 Author
https://docs.google.com/spreadsheets/d/1lPQPptVXvLwM8q5XiD5Weq9HcrZDVUUe8szB8e_sb5Q/edit#gid=0,Execution,,Meeting Tracker - example,Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://miro.com/miroverse/product-backlog-refinement-workshop/,"Agile and Scrum, Execution",Product Backlog Refinement Workshop,Product Backlog Refinement,Untitled (https://www.notion.so/a9fec901cb264b788082de50e2624a0c?pvs=21)
https://www.productcompass.pm/p/product-strategy-canvas,"Business and Strategy, Strategy",I could not find a single Product Strategy Canvas I could recommend. So here is a new one.,Product Strategy Canvas,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://docs.google.com/presentation/d/1DU-gRsVcb1r4H4ITFfcPo-iLxDtabvUg/edit?usp=sharing&ouid=111307342557889008106&rtpof=true&sd=true,Product Discovery,,User Journey Map,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
"https://miro.com/templates/official-remote-5-day-design-sprint/
",Product Discovery,The official Google’s five-day sprint process,5-Day Design Sprint,"Untitled (https://www.notion.so/316680746a234d24aa483fa5fbcfeff8?pvs=21), Untitled (https://www.notion.so/38860a8492ae4a369b53edc53dca1566?pvs=21)"
https://www.notion.so/templates/notions-prd,Execution,,PRD (Product Requirements Document),Untitled (https://www.notion.so/9791d5553e3c4d3b9770f368315459b9?pvs=21)
https://miro.com/miroverse/the-team-canvas/,"Leadership, People",,The Team Canvas,Untitled (https://www.notion.so/3bfad2da416741fe8ae6c8d4c02bbcc4?pvs=21)
https://miro.com/templates/swot-analysis/,"Business and Strategy, Strategy",A framework used to evaluate a company's competitive position,SWOT Analysis,
https://docs.google.com/presentation/d/1axTmdT7hD6t7t5gqKbg0Lzo7j6xMD6ZB/edit?usp=sharing&ouid=111307342557889008106&rtpof=true&sd=true,Experimentation,A great technique to generate testable assumptions,User Story Map,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://docs.google.com/spreadsheets/d/1_TgYK7fHvUXWrcIhGgUeeq8OoFi0LQ6usQm3r7owZA0/edit,"Execution, Goals",,"OKR Tracker, example",Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://docs.google.com/presentation/d/1WqcT_iMFHR0Jtm61WGRKeviTd1ov4deC/edit?usp=sharing&ouid=111307342557889008106&rtpof=true&sd=true,Execution,This template is handy for prioritizing initiatives you want to take,Risk vs Reward,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://miro.com/miroverse/atlassian-5-whys-analysis/,Product Discovery,One of the best root cause analysis techniques,5 Whys Analysis,
https://miro.com/miroverse/jobs-to-be-done-jtbd-for-product-managers/,Product Discovery,,Jobs To Be Done (JTBD) for Product Managers,
https://miro.com/templates/pestle-analysis/,Business and Strategy,Commonly used to evaluate the business environment in which your company operates,PESTEL Analysis,
https://www.notion.so/templates/okr-template-2,"Execution, Goals",,OKR Template,Untitled (https://www.notion.so/1cf549186cc54ecb8eb74b667d0277dd?pvs=21)
"https://docs.google.com/presentation/d/1a_38O6eGaOjXeD9G86dAhD_nBAwnJ51u/edit?usp=drive_link&ouid=111307342557889008106&rtpof=true&sd=true
",Execution,,Now-next-later outcome-based product roadmap,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
"https://docs.google.com/presentation/d/10AhFdRBq7iaDYrfQZ90y9WqjYZJ3BY54/edit?usp=share_link&ouid=111307342557889008106&rtpof=true&sd=true
",Product Discovery,,Customer Interview,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://miro.com/app/board/o9J_l98_EZk=/,Product Marketing,What I like about this template is that it’s not a plan. It stays on a strategic level.,Go-to-market strategy template,
https://docs.google.com/spreadsheets/d/1LUfnsPolhZgm7X2oij-7EUe0CJT-Dwr-/edit?usp=sharing&ouid=111307342557889008106&rtpof=true&sd=true,Prioritization,"Prioritization framework: Impact, Confidence, Ease",ICE Framework,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://docs.google.com/document/d/1GoiH4pwsph5rwSM_wMMiMJkX6-qFVwO0SVYkodNZhwg/edit,"Execution, Goals",,OKR Creation,Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://miro.com/templates/six-thinking-hats/,Execution,Analyze a problem from different perspectives,Six Thinking Hats,
https://docs.google.com/spreadsheets/d/1mZY1EYU5O075tyMWmqxAk1ylr_AKkJsYWDhk0n9PRIU/edit?usp=sharing,Business and Strategy,Ben’s recommendation on how much equity offer to new employees,Equity Dilution Model,Untitled (https://www.notion.so/9c46a9e43bcb4fa5a193cf03481a5496?pvs=21)
https://miro.com/templates/4p-marketing-mix/,Product Marketing,Thinking about how you can sell a product,4P Marketing Mix,
https://docs.google.com/presentation/d/1pQx9mThb9GtJi_y8nGiLYZRGSufoeO7G/edit?rtpof=true&sd=true,Business and Strategy,A template to identify and analyze five competitive forces that shape every industry,Porter’s Five Forces,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://drive.google.com/file/d/11vW2u8QYqqeb9lOocdLWYQfYMtW8ykBp/view?usp=share_link,Business and Strategy,"Strategyzer’s template, based on The Invincible Company",Business Model Portfolio,Untitled (https://www.notion.so/c67ee24c32d44392bd2f9eb08be958b8?pvs=21)
"https://drive.google.com/file/d/1ENbYPmk1i1AKO7UnfyTuULL5GucTVufW/view?usp=sharing
",Product Discovery,,Opportunity Score - introduction,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://miro.com/miroverse/team-psychological-safety/,"Leadership, People",,Team Psychological Safety,
https://docs.google.com/presentation/d/1HwjIPjGNqvVytkxUxSduikdhHzFWhtFk/edit?usp=sharing&ouid=111307342557889008106&rtpof=true&sd=true,Business and Strategy,"Similar to Business Model Canvas, might be better suited for Startups",Lean Canvas,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://docs.google.com/document/d/1Hn_E1UFYruM1sXATsSwIydIJ4EsxMvxlnyoypOVRb_M/edit#heading=h.6ww0l7nn95nc,Product Discovery,,Issue / Proposed Solution template (1-1),Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://miro.com/templates/impact-effort-matrix/,Execution,The template is handy for prioritizing your tasks,Impact vs. Effort (2x2),
https://docs.google.com/document/d/1SLHeBWEXHk9SEvUKUU1hMsxl-U-IRaeZqA-wpx02lb4/edit,People,,Motivating your team. Magic Questions,Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://miro.com/templates/ansoff-matrix/,Business and Strategy,Explore opportunities for growing your business,Ansoff Matrix,
https://docs.google.com/document/d/1OP6WkWcWETvXFfwQYG1nqXL2wPRytzbQRWYwcchq2t0/edit,Execution,,"RAPID template, example",Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://www.strategyzer.com/hubfs/Assets%20-%20Downloads/the-learning-card-1.pdf (PDF) + https://youtu.be/U1FlRmg7j-o (2:04),Experimentation,,Strategyzer Learning Card (PDF) + YouTube video (2:04),Untitled (https://www.notion.so/c67ee24c32d44392bd2f9eb08be958b8?pvs=21)
https://www.figma.com/community/file/1231108449159692241,"Business and Strategy, Product Discovery","A fantastic, diverse collection of FigJam templates",Free Ultimate PM Kit (27 Figma Templates),Untitled (https://www.notion.so/1e157d7669bf4d83a1837423cc3863cf?pvs=21)
https://drive.google.com/file/d/13roR-7D6ZBkBTk1IO96KxSpMtkM12H7z/view?usp=share_link,"Agile and Scrum, Execution",,Review: Presenting results and engaging with stakeholders,Untitled (https://www.notion.so/26769d631f7d46a89f9ce40f29d5fecb?pvs=21)
https://miro.com/templates/kano-model/,Product Discovery,Features prioritization technique,Kano Model,Untitled (https://www.notion.so/dd84ca4d7e3d40bfb74b4a9959ed6e97?pvs=21)
https://jeffgothelf.com/blog/the-lean-ux-canvas/,Business and Strategy,A process to help teams frame their work as a business problem to solve,Lean UX Canvas,Untitled (https://www.notion.so/890989b88a02464bad873e61184d1486?pvs=21)
https://miro.com/miroverse/product-metrics-analytics-board/,Data Analytics,,Product Metrics & Analytics,
https://miro.com/templates/value-stream-map/,"Execution, Lean",Define and optimize the various steps of delivering a product using lean methodology,Value Stream Mapping,
https://docs.google.com/presentation/d/1t4ez_dvj1qQWL8JT_6Xar-J6NuGuL0z0/edit?usp=drive_link&ouid=111307342557889008106&rtpof=true&sd=true,Product Discovery,,User Persona,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://docs.google.com/spreadsheets/d/1hwIpQytcLXFQOtbo1kK3OLu6elvZfORS_K79TQk5_1c/edit?usp=sharing,Product Discovery,Jobs to be Done calculation,Analyze opportunity to add value by customer,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://miro.com/templates/value-chain/,Business and Strategy,Understand the value your business has delivered to your customers,Value Chain Analysis,
https://docs.google.com/document/d/16iXM6T45R5cxPR_OT3hA8iumqNV9fhjNLphsfSCWo1A/edit,People,,Feedback Form 1-1,Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://docs.google.com/document/d/1TKZ1wW39_WxVTLtGUeQHwxzs22XobkQSri9Zr4b5zcg/edit,Execution,,Meeting guidance sheet,Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://docs.google.com/spreadsheets/d/1T971uQz2heR-rtApVScx8Sl1d1Foi2Gy/edit?usp=sharing&ouid=111307342557889008106&rtpof=true&sd=true,"Execution, Prioritization",Weighted decision prioritization technique,Weighted Decision Prioritization,"Untitled (https://www.notion.so/7e5786c8b1f34892a6e104de14618a42?pvs=21), Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)"
https://docs.google.com/spreadsheets/d/1S-6QpyOz5MCrV7B67LUWdZkAzn38Eahv/edit?usp=sharing&ouid=111307342557889008106&rtpof=true&sd=true,Prioritization,"Prioritization framework: Reach, Impact, Confidence, Ease",RICE Framework,Untitled (https://www.notion.so/e83fd733182d4c698b987745e16bffc2?pvs=21)
https://miro.com/templates/eisenhower-matrix/,Execution,The template is handy for prioritizing your tasks,Eisenhower Matrix,
https://docs.google.com/document/d/1j4EFRYfAs3RidCk_CE-QQMquBkpy3P69yh19lANpkmM/edit#,Execution,,Board Meetings,Untitled (https://www.notion.so/676df73941104de7b0e8267f5a523ffb?pvs=21)
https://drive.google.com/file/d/12QhGaplsRtMe5dodaCuhWXOESuLSGe43/view?usp=share_link,"Agile and Scrum, Execution",,Retrospective: Identifying Opportunities to become a better team,Untitled (https://www.notion.so/26769d631f7d46a89f9ce40f29d5fecb?pvs=21)
